layer,matrix,record,strategy,variant,eig_imag_max,eig_max,eig_min,erank,fro,n_sv_gt_0.01,n_sv_gt_0.5,quota,quota_a,quota_b,rel_fro,sym_err,top10_align,top32_align,trace
5,C_success,V2_vs_V1,global_a10.0,V2|V1,,,,,,,,,0.248347,0.248984,0.0493121,,0.900098,0.968667,
5,C_failure,V2_vs_V1,global_a10.0,V2|V1,,,,,,,,,0.276665,0.277272,0.0449777,,0.899872,0.968731,
5,C_contrastive,V2_vs_V1,global_a10.0,V2|V1,,,,,,,,,0.0976296,0.0975532,0.0595932,,0.985853,0.993096,
5,C_success,V3_vs_V2,global_a10.0,V3|V2,,,,,,,,,0.248347,0.248347,3.80683e-10,,1,1,
5,C_failure,V3_vs_V2,global_a10.0,V3|V2,,,,,,,,,0.276665,0.276665,3.73019e-10,,1,1,
5,C_contrastive,V3_vs_V2,global_a10.0,V3|V2,,,,,,,,,0.095193,0.0976296,0.211059,,0.863433,0.92069,
5,C_success,V0_vs_V3,global_a10.0,V0|V3,,,,,,,,,0.446481,0.248347,0.675109,,0.562255,0.936069,
5,C_failure,V0_vs_V3,global_a10.0,V0|V3,,,,,,,,,0.465689,0.276665,0.609096,,0.54611,0.934765,
5,C_contrastive,V0_vs_V3,global_a10.0,V0|V3,,,,,,,,,0.16812,0.095193,0.994573,,0.359273,0.344832,
5,C_success,diagnostic,per_step_0_a1.0,V0,0,0.99979,0.000129111,153.994,6.74456,339,50,0.0659089,,,,5.59388e-11,,,67.4907
5,C_failure,diagnostic,per_step_0_a1.0,V0,0,0.999786,0.000182585,163.877,6.82137,360,52,0.0686055,,,,4.02248e-11,,,70.252
5,C_contrastive,diagnostic,per_step_0_a1.0,V0,0.000117227,0.404645,0.000129101,228.693,2.25623,305,0,0.0255444,,,,0.150434,,,26.1574
5,C_success,diagnostic,per_step_0_a1.0,V1,0,0.999773,-6.34047e-09,70.6361,6.08019,146,38,0.0434727,,,,2.70908e-11,,,44.516
5,C_failure,diagnostic,per_step_0_a1.0,V1,0,0.999768,-1.77459e-09,80.5383,6.14079,162,39,0.0459423,,,,1.34448e-11,,,47.045
5,C_contrastive,diagnostic,per_step_0_a1.0,V1,7.24546e-10,0.410496,-6.24363e-09,107.52,1.1794,129,0,0.00865621,,,,0.300534,,,8.86396
5,C_success,diagnostic,per_step_0_a1.0,V2,0,0.995583,-6.10162e-09,69.9807,6.00247,145,37,0.0425877,,,,1.71426e-12,,,43.6098
5,C_failure,diagnostic,per_step_0_a1.0,V2,0,0.995304,-1.80264e-09,79.9673,6.06503,161,38,0.0450757,,,,6.99515e-12,,,46.1575
